place,placeLabel,country,countryLabel,description,coordinates
http://www.wikidata.org/entity/Q61910611,Oscar II Fort,http://www.wikidata.org/entity/Q34,Schweden,is main fortification of Elfsborg Fortress; was built in 1899-1907 to protect the sea entrance to Gothenburg as the inside rock construction.,Point(11.852222222 57.674722222)
http://www.wikidata.org/entity/Q61987420,Mercado do Livramento,http://www.wikidata.org/entity/Q45,Portugal,"Traditional Portuguese market created in 1876, in Setúbal, Portugal",Point(-8.894264 38.522977)
http://www.wikidata.org/entity/Q61990188,Q61990188,http://www.wikidata.org/entity/Q159,Russland,,Point(40.05357742 47.89326217)
http://www.wikidata.org/entity/Q61992365,Horizonte Perdido,http://www.wikidata.org/entity/Q155,Brasilien,"farm and tourist attraction in Araxá, Brazil",Point(-46.849 -19.708805555)
http://www.wikidata.org/entity/Q61992405,Topo do Mundo,http://www.wikidata.org/entity/Q155,Brasilien,"tourist attraction in Minas Gerais, Brazil",Point(-43.978888888 -20.195166666)
http://www.wikidata.org/entity/Q61992432,Amalienburg,http://www.wikidata.org/entity/Q40,Österreich,"part of Hofburg Palace, Vienna",Point(16.364088888 48.2082)
http://www.wikidata.org/entity/Q62050492,Q62050492,http://www.wikidata.org/entity/Q159,Russland,,Point(34.163308055 44.492366111)
http://www.wikidata.org/entity/Q62050492,Q62050492,http://www.wikidata.org/entity/Q212,Ukraine,,Point(34.163308055 44.492366111)
http://www.wikidata.org/entity/Q62059204,Q62059204,http://www.wikidata.org/entity/Q212,Ukraine,,Point(37.262526 49.219485)
http://www.wikidata.org/entity/Q62059263,Q62059263,http://www.wikidata.org/entity/Q184,Belarus,,Point(30.26075 53.863263)
http://www.wikidata.org/entity/Q62059275,Q62059275,http://www.wikidata.org/entity/Q212,Ukraine,,Point(30.488587 50.446787)
http://www.wikidata.org/entity/Q62059293,Q62059293,http://www.wikidata.org/entity/Q212,Ukraine,,Point(37.31625 49.21526)
http://www.wikidata.org/entity/Q62070105,The Baroque Garden of Drottningholm Palace,http://www.wikidata.org/entity/Q34,Schweden,the oldest part of the castle park was created in the late 17th century under the supervision of Queen Hedvig Eleonora,
http://www.wikidata.org/entity/Q62070416,English Parks of Drottningholm Palace,http://www.wikidata.org/entity/Q34,Schweden,"park at Drottningholm Palace, Sweden",
http://www.wikidata.org/entity/Q62091752,Q62091752,http://www.wikidata.org/entity/Q232,Kasachstan,,Point(76.960983 43.225509)
http://www.wikidata.org/entity/Q62091752,Q62091752,http://www.wikidata.org/entity/Q15180,Sowjetunion,,Point(76.960983 43.225509)
http://www.wikidata.org/entity/Q62091752,Q62091752,http://www.wikidata.org/entity/Q168811,Kasachische Sozialistische Sowjetrepublik,,Point(76.960983 43.225509)
http://www.wikidata.org/entity/Q62559874,Museum of history and arts (Pavlovsky Posad),http://www.wikidata.org/entity/Q159,Russland,,Point(38.654444444 55.773611111)
http://www.wikidata.org/entity/Q63205357,Borgo Stretto,http://www.wikidata.org/entity/Q38,Italien,"Shopping district in Pisa, Italy",Point(10.40224 43.71743)
http://www.wikidata.org/entity/Q63243409,Parque del Drago,http://www.wikidata.org/entity/Q29,Spanien,,Point(-16.722194444 28.366055555)
http://www.wikidata.org/entity/Q63243643,"Eternal flame, Karaganda",http://www.wikidata.org/entity/Q232,Kasachstan,,Point(73.095156 49.810317)
http://www.wikidata.org/entity/Q63349559,Sülüklü Inn,http://www.wikidata.org/entity/Q43,Türkei,"a historical place at Diyarbakir, Turkey",Point(40.23744 37.91157)
http://www.wikidata.org/entity/Q63372405,Q63372405,http://www.wikidata.org/entity/Q43,Türkei,,Point(40.23649 37.915142)
http://www.wikidata.org/entity/Q63372490,Gazi Pavillion,http://www.wikidata.org/entity/Q43,Türkei,"a historical building in Diyarbakir, Turkey",Point(40.229198 37.895626)
http://www.wikidata.org/entity/Q126811923,Abstracta (Park Galitskogo),http://www.wikidata.org/entity/Q159,Russland,,Point(39.032375 45.042561)
http://www.wikidata.org/entity/Q126817034,Manor granary from Śmiłowice 1745–1747,http://www.wikidata.org/entity/Q36,Polen,"wooden architecture monument, Poland",Point(18.974035649 50.295124217)
http://www.wikidata.org/entity/Q126868546,Manor Granary from Simoradz 1738,http://www.wikidata.org/entity/Q36,Polen,"wooden architecture monument, Poland",Point(18.972101626 50.294474574)
http://www.wikidata.org/entity/Q126868676,Granary from Bojanów 18th 19th,http://www.wikidata.org/entity/Q36,Polen,"wooden architecture monument, Poland",Point(18.973535184 50.294955988)
http://www.wikidata.org/entity/Q126868862,Pigsty from Bogucice (the 19th century),http://www.wikidata.org/entity/Q36,Polen,wooden architecture monument,Point(18.975223729 50.29619818)
http://www.wikidata.org/entity/Q126871372,Blacksmith's Shop from Zamarski 1843,http://www.wikidata.org/entity/Q36,Polen,wooden architecture monument,Point(18.969826073 50.2937851)
http://www.wikidata.org/entity/Q126871463,Barn from Ustroń (ca. the mid-19th century),http://www.wikidata.org/entity/Q36,Polen,wooden architecture monument,Point(18.970008502 50.294023619)
http://www.wikidata.org/entity/Q126874549,Turbine Windmill from Nierodzim 1918,http://www.wikidata.org/entity/Q36,Polen,"wooden architecture monument, Poland",Point(18.970808415 50.294267337)
http://www.wikidata.org/entity/Q126877446,Cottage from Zborowskie ca. 1839,http://www.wikidata.org/entity/Q36,Polen,wooden architecture monument,Point(18.976944806 50.295566591)
http://www.wikidata.org/entity/Q126878263,Cottage from Frydek 1852,http://www.wikidata.org/entity/Q36,Polen,wooden architecture monument,Point(18.971354941 50.294919684)
http://www.wikidata.org/entity/Q126879992,Farming Tool Storage Shed from Kryry (ca. the mid-19th century),http://www.wikidata.org/entity/Q36,Polen,wooden architecture monument,Point(18.970851281 50.294978792)
http://www.wikidata.org/entity/Q126881371,Lemesos Marina,http://www.wikidata.org/entity/Q229,Zypern,"marina in Limassol, Cyprus",Point(33.03892 34.66739)
http://www.wikidata.org/entity/Q126881438,Pigsty from Kobiór 19th,http://www.wikidata.org/entity/Q36,Polen,wooden architecture monument,Point(18.971051361 50.294856795)
http://www.wikidata.org/entity/Q126882424,Hay Storage Shed from Kobiór 19th,http://www.wikidata.org/entity/Q36,Polen,wooden architecture monument,Point(18.971273502 50.295107654)
http://www.wikidata.org/entity/Q126884035,Octagonal Barn from Brzeźce 19th,http://www.wikidata.org/entity/Q36,Polen,wooden architecture monument,Point(18.971095339 50.295117815)
http://www.wikidata.org/entity/Q126884492,Cart Storage Shed from Kryry 19th,http://www.wikidata.org/entity/Q36,Polen,wooden architecture monument,Point(18.970938583 50.295027851)
http://www.wikidata.org/entity/Q126888368,Well head from Łąka 19th,http://www.wikidata.org/entity/Q36,Polen,wooden architecture monument,Point(18.971344368 50.295046547)
http://www.wikidata.org/entity/Q126889757,Årjängstrollet,http://www.wikidata.org/entity/Q34,Schweden,,
http://www.wikidata.org/entity/Q126891699,"""Villingen""-Schriftzug",http://www.wikidata.org/entity/Q183,Deutschland,"""Villingen"" lettering on the Hubenloch, Germany",Point(8.4536801 48.0580224)
http://www.wikidata.org/entity/Q126910496,Natural Stone Bridge and Caves,http://www.wikidata.org/entity/Q30,Vereinigte Staaten,"marble cave system and tourist attraction in Pottersville, New York",Point(-73.852333055 43.747516666)
http://www.wikidata.org/entity/Q126915081,Select Aviation College,http://www.wikidata.org/entity/Q16,Kanada,"Flight School in the city of Gatineau, Quebec, Canada.",
http://www.wikidata.org/entity/Q126916082,Pieta,http://www.wikidata.org/entity/Q36,Polen,sculpture at the Catholic cemetery on Francuska Street in Katowice,Point(19.02841146 50.25261331)
http://www.wikidata.org/entity/Q126936087,Seals,http://www.wikidata.org/entity/Q36,Polen,"sculpture by Tadeusz Sadowski in the Silesian Park, Poland",Point(18.987158407 50.278210116)
http://www.wikidata.org/entity/Q126974466,Q126974466,http://www.wikidata.org/entity/Q159,Russland,,Point(60.593618 56.88524)
http://www.wikidata.org/entity/Q126978426,Tower of Saint Francis Borgia,http://www.wikidata.org/entity/Q29,Spanien,viewing tower of the Basilica del Pilar in Zaragoza,Point(-0.87892842 41.657288516)
http://www.wikidata.org/entity/Q127164642,Jungbrunnen,http://www.wikidata.org/entity/Q183,Deutschland,,Point(10.51079 51.09449)
http://www.wikidata.org/entity/Q127213340,Blaue Faden,http://www.wikidata.org/entity/Q183,Deutschland,"walking trail in Hanover, Lower Saxony",
http://www.wikidata.org/entity/Q127271010,Svirsk Gorge,http://www.wikidata.org/entity/Q159,Russland,,Point(39.320953 43.933125)
http://www.wikidata.org/entity/Q127275919,Watermill of Sornico,http://www.wikidata.org/entity/Q38,Italien,"building in Lierna, Italy",
http://www.wikidata.org/entity/Q127413804,Q127413804,http://www.wikidata.org/entity/Q159,Russland,,Point(39.674858 43.730592)
http://www.wikidata.org/entity/Q127417493,Boszhira Valley,http://www.wikidata.org/entity/Q232,Kasachstan,rock formation in Kazakhstan,Point(54.0724332 43.4159425)
http://www.wikidata.org/entity/Q127513042,Q127513042,http://www.wikidata.org/entity/Q1019,Madagaskar,,
http://www.wikidata.org/entity/Q127542660,Q127542660,http://www.wikidata.org/entity/Q1019,Madagaskar,,
http://www.wikidata.org/entity/Q127602757,Julian Fałat’s Bench,http://www.wikidata.org/entity/Q36,Polen,"monumental bench in Bystra, Poland",Point(19.068157525 49.762871571)
http://www.wikidata.org/entity/Q127603891,Sivas Altınkale,http://www.wikidata.org/entity/Q43,Türkei,,
http://www.wikidata.org/entity/Q127610656,Świetlik,http://www.wikidata.org/entity/Q36,Polen,"outdoor sculpture in Bytom, Poland",Point(18.918863028 50.346998445)
http://www.wikidata.org/entity/Q127708221,Filling station Lake Como,http://www.wikidata.org/entity/Q38,Italien,Rationalism on Lake Como Car Refuelling Station building by Cereghini,Point(9.382103102 45.863894339)
http://www.wikidata.org/entity/Q127790472,Mirage Volcano,http://www.wikidata.org/entity/Q30,Vereinigte Staaten,Former attraction in front of The Mirage in Las Vegas,Point(-115.172701 36.121395)
http://www.wikidata.org/entity/Q127963135,Shishan,http://www.wikidata.org/entity/Q865,Republik China,,Point(120.86875 23.482277777)
